Spotify ID,Artist IDs,song,Album Name,artist,Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3aU45L9plt4rRJ77gzLR0D,1csBgT42N4pPPs1HJhxXIK,Udaipur,The Best Exotic Marigold Hotel,Thomas Newman,24-02-2012,250213,28,spotify:user:1220931509,2018-07-02T19:15:22Z,"orchestral soundtrack,soundtrack",0.128,0.00908,2,-31.47,1,0.0436,0.981,0.941,0.12,0.0331,68.309,3
6Roxv22RNZUq0dPJczDp7F,3AGvwnXbUo9LoAU2P5qYHB,Khumbe,Tibet Nada Himalaya 2,Deuter,01-05-2005,545440,0,spotify:user:1220931509,2018-03-30T11:55:38Z,"healing,meditation",0.129,0.0031,10,-36.318,1,0.0418,0.976,0.896,0.119,0.0331,69.872,3
6XYGQXaMxYjUA3R5EBx4Jc,6c4PFTwVucnE0A6l219i99,Breathing Space,Call to the Divine,Sacred Earth,11-06-2010,486426,8,spotify:user:1220931509,2021-01-29T12:12:28Z,"healing,high vibe",0.0612,0.017,0,-25.783,1,0.0496,0.979,0.974,0.0908,0.0307,62.232,3
0evhabxKRo28moFOrw185S,7ABrk0PO1Bz1U4G023WzSk,A Cool Wind Is Blowing,I Will Not Be Sad In This World,Djivan Gasparyan,1983,244000,0,spotify:user:1220931509,2018-08-28T01:24:49Z,"arab folk,duduk",0.169,0.183,7,-16.499,1,0.0449,0.995,0.96,0.119,0.0482,88.768,3
4ItGcQwHgiw19JWjEro5Rv,1NxJIytLijquteDSmuDM8I,Influence of Reiki,"Blissful Spa Relaxation ? Ayurvedic Therapy, Pain Management, Absent Healing, Reiki Massage Music",Spa Music Paradise,01-05-2017,246153,1,spotify:user:1220931509,2018-08-30T01:19:37Z,spa,0.153,0.0247,10,-31.713,1,0.0427,0.0757,0.668,0.118,0.0369,135.055,3
3T5haIopkpMI4PjftDzCsr,"1SPMk2s05Av9udlEXzK7oa,7nDNivb6J8tlkUZBjp8hfw",Sahasrara,Shiva Rea & Alex Theory Present: Rising,"Shiva Rea,Alex Theory",25-08-2014,531186,0,spotify:user:1220931509,2018-10-08T00:33:54Z,kirtan,0.0716,0.122,2,-22.059,1,0.0397,0.94,0.916,0.0814,0.032,76.12,1
3NcnpK9qbBYF70lt7HPRTQ,6EN5zX1Q2W7qcesyatdUfO,Ecstatic Rapture (Open Space Mix),Anahata Yoga Dub,Desert Dwellers,19-11-2012,492199,0,spotify:user:1220931509,2018-10-21T17:52:19Z,"glitch hop,psychill,world fusion",0.274,0.301,4,-15.313,1,0.0346,0.765,0.89,0.339,0.13,99.745,4
2yMnjceWoGqsWlSC6Gika0,"7ugeADypDuFDWqInSevOeZ,7caCvnanZCHvcoPslDOGkW",De Harmonices Mundi,Sacred Planet (From women & man to gods & godnesses),"Matteo Silva,Amelia Cuni",1998,351333,6,spotify:user:1220931509,2019-01-22T12:56:02Z,dhrupad,0.105,0.00632,1,-26.639,1,0.0488,0.938,0.629,0.168,0.0674,91.845,3
3xmG9vXPIK7Ryk1FWInjbm,2uvdsw07VR5CuNk9NvQ1kr,Astral Garden,Soma,Klaus Wiese,21-07-2000,652800,20,spotify:user:1220931509,2019-01-22T12:58:37Z,dark ambient,0.0836,0.0447,1,-25.819,1,0.0389,0.965,0.911,0.0943,0.0275,84.118,4
26mYLKiaPf60yfu15UdhwM,"3ux92I3CgfnhgLyYNsXIwZ,6IetSXRkrJBNrZ9ogrLaYZ",Turning to Stone,Fissures,"Robert Rich,Alio Die",20-05-1997,327000,21,spotify:user:1220931509,2019-01-22T13:02:25Z,"ambient,ambient industrial,drone,fourth world,microtonal,deep ambient",0.191,0.176,2,-20.179,0,0.0395,0.963,0.983,0.207,0.0353,86.551,4
2qe4HszTxA7rVGiBUrKxDN,6IetSXRkrJBNrZ9ogrLaYZ,Radiance Revealed,Time Zone Portal,Alio Die,01-12-2017,524333,7,spotify:user:1220931509,2019-01-22T13:06:44Z,"ambient,deep ambient,drone",0.2,0.168,10,-20.951,1,0.0388,0.956,0.605,0.1,0.0481,81.016,4
5IRkzbejFUbsW5jipmexKz,"2DFw5WtctI52FktbLGhErN,6IetSXRkrJBNrZ9ogrLaYZ",Lang-Tang,?and Friends: Trapped Vol. 1,"Jarguna,Alio Die",03-11-2017,661990,0,spotify:user:1220931509,2019-01-22T13:31:19Z,"deep ambient,ambient,drone",0.0616,0.263,1,-20.112,0,0.0404,0.882,0.858,0.177,0.0371,66.722,3
0OqvFfOBtPl1BJ7OTSCxcV,7aF3R56AqhR8iozAY1xhTv,"El Chakra Ra¡z, Muladhara - Cantando Om En La Clave De C",Cantando Om: Meditaci¢n En Los 7 Chakras (Version Con Armon¡as),Musica Para Meditacion Profunda,05-01-2013,220000,27,spotify:user:1220931509,2018-03-31T17:08:02Z,musica de fondo,0.165,0.026,0,-28.458,1,0.0486,0.956,0.969,0.108,0.0319,129.381,4
0zYTcW1Jj1H4PZEP9DJMjQ,1KHX0UJ5bs9Hb4hnM7bs4b,Earth Spirits,Earth Energies - 174 Hz Solfeggio Foundation Frequency,Dreamflute Doroth‚e Fr”ller,17-11-2016,322613,10,spotify:user:1220931509,2019-01-28T03:56:13Z,tone,0.182,0.15,5,-20.799,1,0.0387,0.986,0.95,0.108,0.0368,99.622,3
